Customer,CustomerName,StreetName,PostalCode,CityName,TelephoneNumber1
##1,Avery Testify Evans,Testash Boulevard,20202,Northtest,+1-707-555-1818
0000000001,David Testic Wilson,Testoak Road,23232,Testpark,+1-202-555-1313
0000000002,Jack Testify Edwards,Testcrest Gardens,80808,Testgrove,+1-676-555-2626
0000000003,Michael Testly Brown,Testvale Row,88888,Testford,+1-898-555-2828
0000000004,James Testerly Clark,Testash Boulevard,77777,Testwood,+1-101-555-1212
0000000005,Elijah Testify Roberts,Testwood Avenue,44444,Testcrest,+1-121-555-2121
0000000006,Chloe Testify Turner,Testview Drive,11111,Testhaven,+1-888-555-0404
0000000011,Charlotte Testadult Walker,Testmaple Drive,56565,Testbridge,+1-222-555-0606
0000000016,Ella Testify Campbell,Testoak Road,88888,Testgrove,+1-999-555-3030
0000000017,Mia Testify Scott,Testelm Street,34343,Testford,+1-101-555-1212
0000000018,Isabella Testify Baker,Testfield Road,89898,Testland,+1-202-555-1313
0000000019,Matthew Testable Wright,Testgate Street,55555,Testborough,+1-123-555-3131
0000000021,Jack Testify Edwards,Testbridge Place,10101,Testhill,+1-999-555-3030
0000000022,Alex Testman Johnson,Testpine Avenue,12121,Testgrove,+1-808-555-1919
0000000023,Emma Testwoman Harris,Testfir Crescent,80808,Testfield,+1-101-555-1212
0000000024,Emma Testwoman Harris,Testoak Road,20202,Testgrove,+1-505-555-1616
0000000025,Olivia Testoff Davis,Testhaven Square,50505,Testmeadow,+1-202-555-1313
0000000026,Michael Testly Brown,Testpark Crescent,50505,Testside,+1-454-555-2424
0000000027,Mia Testify Scott,Testhaven Square,00000,Westteston,+1-000-555-2929
0000000028,Amelia Testify King,Testash Boulevard,50505,Testwood,+1-565-555-2525
0000000029,Sophia Testcase Miller,Testoak Road,55555,Southteston,+1-121-555-2121
0000000030,Daniel Testsenior Young,Testelm Street,55555,Southteston,+1-707-555-1818
0000000031,Henry Testify Nelson,Testmeadow Way,77777,Testbridge,+1-787-555-2727
0000000032,Charlotte Testadult Walker,Testtulip Close,56565,Testfield,+1-999-555-3030
0000000036,Joseph Testify Allen,Testpeony Trail,20202,Testport,+1-606-555-1717
0000000038,Michael Testly Brown,Testspring Walk,00000,Testland,+1-898-555-2828
0000000039,Sophia Testcase Miller,Testbirch Terrace,89898,Testhaven,+1-454-555-2424
0000000040,Charlotte Testadult Walker,Testelm Street,45454,Southteston,+1-404-555-1515
0000000041,Joseph Testify Allen,Testash Boulevard,80808,Testside,+1-888-555-0404
0000000042,Maria Testa Smith,Testwillow Lane,99999,Testbridge,+1-999-555-0202
0000000043,Ella Testify Campbell,Testash Boulevard,22222,Testwood,+1-676-555-2626
0000000044,Michael Testly Brown,Testview Drive,44444,Westteston,+1-202-555-1313
0000000045,Grace Testify Perez,Testlily Circle,23232,Testbridge,+1-333-555-0707
0000000046,Matthew Testable Wright,Testwillow Lane,88888,Testhaven,+1-000-555-2929
0000000051,Grace Testify Perez,Testcrest Gardens,12345,Testfield,+1-000-555-2929
0000000052,David Testic Wilson,Testmaple Drive,44444,Testland,+1-666-555-1010
0000000053,David Testic Wilson,Testhaven Square,80808,Testhill,+1-454-555-2424
0000000062,Avery Testify Evans,Testiris Row,78787,Testhill,+1-404-555-1515
0000000064,Emily Testson Lee,Testside Terrace,50505,Westteston,+1-444-555-0808
